abs: false|float|int
opcache_reset: bool
openlog: bool
output_add_rewrite_var: bool|probably-null
output_reset_rewrite_vars: bool|probably-null
pack: false|string
parse_ini_file: array|false
parse_ini_string: array|false
parse_url: array|false|int|string
password_algos: array
password_get_info: array|null
password_hash: null|string
password_needs_rehash: bool
password_verify: bool
pcntl_alarm: int
pcntl_async_signals: bool
pcntl_exec: false|probably-null
pcntl_fork: int
pcntl_get_last_error: int
pcntl_getpriority: false|int
pcntl_setpriority: bool
pcntl_signal: bool
pcntl_signal_dispatch: true
pcntl_signal_get_handler: false|int|probably-null
pcntl_sigprocmask: bool
pcntl_strerror: string
pcntl_unshare: bool
pcntl_wait: int|probably-null
pcntl_waitpid: int|probably-null
pcntl_wexitstatus: false
pcntl_wifcontinued: false
pcntl_wifexited: false
pcntl_wifsignaled: false
pcntl_wifstopped: false
pcntl_wstopsig: false
pcntl_wtermsig: false
pdo_drivers: array|probably-null
pfsockopen: probably-null
php_ini_loaded_file: false|probably-null|string
php_ini_scanned_files: false|probably-null|string
php_sapi_name: false|probably-null|string
php_strip_whitespace: probably-null|string
php_uname: string
phpcredits: true
phpinfo: true
phpversion: false|probably-null|string
pi: float
pow: probably-null
prev: mixed
print_r: probably-null|string|true
property_exists: bool|null
putenv: bool|probably-null
quoted_printable_decode: string
quoted_printable_encode: string
rad2deg: float
rand: int
random_bytes: probably-null|string
random_int: int|probably-null
range: array|false|probably-null
rawurldecode: string
rawurlencode: string
readlink: false|string
realpath_cache_get: array|probably-null
realpath_cache_size: int|probably-null
register_shutdown_function: false|probably-null
register_tick_function: bool|probably-null
reset: mixed
resourcebundle_count: false|int
resourcebundle_create: null|probably-null
resourcebundle_get: false|probably-null
resourcebundle_get_error_code: false|int
resourcebundle_get_error_message: false|string
resourcebundle_locales: array|false
restore_error_handler: probably-null|true
restore_exception_handler: probably-null|true
restore_include_path: probably-null
round: false|float
rsort: bool
sem_acquire: probably-null
sem_get: false|resource
sem_release: probably-null
sem_remove: bool
serialize: false|null|probably-null|string
session_abort: bool|probably-null
session_cache_expire: false|int
session_cache_limiter: false|string
session_create_id: false|string
session_decode: bool
session_destroy: bool|probably-null
session_encode: false|probably-null|string
session_gc: false|int|probably-null
session_get_cookie_params: array|probably-null
session_id: false|probably-null|string
session_module_name: false|probably-null|string
session_name: false|string
session_regenerate_id: bool
session_register_shutdown: probably-null
session_reset: bool|probably-null
session_save_path: false|string
session_set_cookie_params: bool|probably-null
session_set_save_handler: bool
session_start: bool
session_status: int|probably-null
session_unset: bool|probably-null
session_write_close: bool|probably-null
set_error_handler: mixed
set_exception_handler: mixed
set_include_path: false|probably-null|string
setcookie: bool|probably-null
setrawcookie: bool|probably-null
settype: bool
sha1: probably-null|string
sha1_file: false|probably-null|string
shm_attach: false|probably-null|resource
shm_detach: bool|probably-null
shm_get_var: false|probably-null
shm_has_var: bool|probably-null
shm_put_var: bool|probably-null
shm_remove: bool|probably-null
shm_remove_var: bool|probably-null
shmop_close: false|probably-null
shmop_delete: bool
shmop_open: false|resource
shmop_read: false|string
shmop_size: false|int
shmop_write: false|int
shuffle: true
simplexml_import_dom: null|object|probably-null
simplexml_load_file: false|object
simplexml_load_string: false|object
sin: float
sinh: float
sleep: false|int
socket_cmsg_space: int|probably-null
socket_recvmsg: false|int|probably-null
socket_sendmsg: false|int|probably-null
sort: bool
soundex: false|string
spl_autoload: probably-null
spl_autoload_call: probably-null
spl_autoload_extensions: probably-null|string
spl_autoload_functions: array|false|probably-null
spl_autoload_register: bool|probably-null
spl_autoload_unregister: bool
spl_classes: array
spl_object_hash: string
spl_object_id: int
sqrt: float
strcasecmp: int
strcmp: int
stream_bucket_append: probably-null
stream_bucket_make_writeable: false|null
stream_bucket_new: false|probably-null
stream_bucket_prepend: probably-null
stream_filter_register: bool
stream_get_filters: array|probably-null
stream_wrapper_register: bool
stream_wrapper_restore: bool
stream_wrapper_unregister: bool
strftime: probably-null
strlen: int
strncasecmp: false|int
strncmp: false|int
strptime: array|false
strtotime: false|int|probably-null
strval: string
symlink: bool
sys_getloadavg: array|false|probably-null
syslog: true
tan: float
tanh: float
time: int|probably-null
time_nanosleep: array|bool
time_sleep_until: bool
timezone_abbreviations_list: array
timezone_identifiers_list: array|false
timezone_location_get: array|false
timezone_name_from_abbr: false|probably-null|string
timezone_name_get: false|probably-null
timezone_offset_get: false|int
timezone_open: false|probably-null
timezone_transitions_get: array|false
timezone_version_get: string
touch: bool
trait_exists: probably-null
transliterator_create: null|probably-null
transliterator_create_from_rules: null|probably-null
transliterator_create_inverse: false|null|probably-null
transliterator_get_error_code: false|int
transliterator_get_error_message: false|string
transliterator_list_ids: array|false
transliterator_transliterate: false|probably-null|string
trigger_error: bool
uasort: probably-null
uksort: probably-null
unixtojd: false|int
unpack: array|false
unregister_tick_function: probably-null
unserialize: mixed
urldecode: string
urlencode: string
use_soap_error_handler: bool
user_filter_nop: probably-null
user_printf: false|int
user_sprintf: false|string
usleep: false|probably-null
usort: probably-null
var_dump: probably-null
var_export: probably-null|string
version_compare: bool|int|null
vfprintf: false|int|probably-null
vprintf: false|int
vsprintf: false|string
xml_error_string: probably-null|string
xml_get_current_byte_index: false|int
xml_get_current_column_number: false|int
xml_get_current_line_number: false|int
xml_get_error_code: false|int
xml_parse: false|int
xml_parse_into_struct: false|int|probably-null
xml_parser_create: probably-null
xml_parser_create_ns: probably-null
xml_parser_free: bool
xml_parser_get_option: false|int|string
xml_parser_set_option: bool
xml_set_character_data_handler: bool
xml_set_default_handler: bool
xml_set_element_handler: bool
xml_set_end_namespace_decl_handler: bool
xml_set_external_entity_ref_handler: bool
xml_set_notation_decl_handler: bool
xml_set_object: bool
xml_set_processing_instruction_handler: bool
xml_set_start_namespace_decl_handler: bool
xml_set_unparsed_entity_decl_handler: bool
xmlwriter_end_attribute: probably-null
xmlwriter_end_cdata: probably-null
xmlwriter_end_comment: probably-null
xmlwriter_end_document: probably-null
xmlwriter_end_dtd: probably-null
xmlwriter_end_dtd_attlist: probably-null
xmlwriter_end_dtd_element: probably-null
xmlwriter_end_dtd_entity: probably-null
xmlwriter_end_element: probably-null
xmlwriter_end_pi: probably-null
xmlwriter_flush: probably-null
xmlwriter_full_end_element: probably-null
xmlwriter_open_memory: bool|probably-null|resource
xmlwriter_open_uri: bool|probably-null|resource
xmlwriter_output_memory: probably-null
xmlwriter_set_indent: bool
xmlwriter_set_indent_string: probably-null
xmlwriter_start_attribute: probably-null
xmlwriter_start_attribute_ns: bool
xmlwriter_start_cdata: bool
xmlwriter_start_comment: bool
xmlwriter_start_document: bool
xmlwriter_start_dtd: bool
xmlwriter_start_dtd_attlist: probably-null
xmlwriter_start_dtd_element: probably-null
xmlwriter_start_dtd_entity: bool
xmlwriter_start_element: probably-null
xmlwriter_start_element_ns: bool
xmlwriter_start_pi: probably-null
xmlwriter_text: probably-null
xmlwriter_write_attribute: bool
xmlwriter_write_attribute_ns: bool
